wku,title,abstract,claims,descriptions
10529071,0,0,0,7
10529073,0,0,0,0
10529087,0,0,0,0
10529089,0,0,0,1
10529104,0,0,0,0
10529109,0,1,6,22
10529113,0,0,0,0
10529115,0,0,0,3
10529116,0,0,0,0
10529117,0,0,0,0
10529118,0,0,0,0
10529119,0,0,0,0
10529124,0,0,0,0
10529126,0,0,0,0
10529128,0,0,0,0
10529135,0,0,0,0
10529146,0,0,0,0
10529147,0,0,0,0
10529148,0,0,0,0
10529152,0,0,0,1
10529193,0,0,0,0
10529194,0,0,0,2
10529195,0,0,0,0
10529196,0,0,0,2
10529204,0,0,0,0
10529206,0,0,0,0
10529219,0,0,0,1
10529229,0,0,0,0
10529233,0,0,0,0
10529235,0,0,0,0
10529239,0,0,0,0
10529240,0,0,0,0
10529242,0,0,0,0
10529243,0,0,0,0
10529249,0,0,0,1
10529276,0,0,0,0
10529285,0,0,0,0
10529290,0,0,0,0
10529300,0,0,0,0
10529316,0,0,0,0
10529318,0,0,0,1
10529320,0,0,0,0
10529321,0,0,0,1
10529322,0,0,0,0
10529326,0,0,0,0
10529331,0,0,0,0
10529332,0,0,0,0
10529336,0,0,0,2
10529337,0,0,0,0
10529339,0,0,0,0
10529352,0,0,0,0
10529353,0,0,0,0
10529355,0,0,0,0
10529359,0,0,0,0
10529363,0,0,0,0
10529364,0,0,0,0
10529366,0,0,0,0
10529370,0,0,0,0
10529371,0,0,0,0
10529373,0,0,0,0
10529375,0,0,0,0
10529387,0,0,0,0
10529388,0,0,0,0
10529389,0,0,0,0
10529390,0,0,0,0
10529391,0,0,0,0
10529392,0,0,0,0
10529394,0,0,0,0
10529396,0,0,0,0
10529398,0,0,0,0
10529400,0,0,0,0
10529401,0,0,0,0
10529402,0,0,0,0
10529403,0,0,0,0
10529409,0,0,0,0
10529410,0,0,0,0
10529412,0,0,0,0
10529418,0,0,0,0
10529428,0,0,0,0
10529430,0,0,0,0
10529433,0,0,0,0
10529434,0,0,0,0
10529436,0,0,0,0
10529446,0,0,0,0
10529450,0,0,0,0
10529468,0,0,0,0
10529479,0,0,0,0
10529480,0,0,0,0
10529518,0,0,0,0
10529519,0,0,0,0
10529526,0,0,0,0
10529537,0,0,0,0
10529541,0,0,0,0
10529547,0,0,0,0
10529557,0,0,0,0
10529561,0,0,0,0
10529562,0,0,0,0
10529568,0,0,0,0
10529569,0,0,0,0
10529573,0,0,0,0
10529576,0,0,0,0
10529579,0,0,0,0
10529585,0,0,0,0
10529592,0,0,0,0
10529600,0,0,0,0
10529602,0,0,0,0
10529619,0,0,0,0
10529621,0,0,0,0
10529622,0,0,0,0
10529624,0,0,0,0
10529625,0,0,0,0
10529627,0,0,0,0
10529628,0,0,0,0
10529632,0,0,0,0
10529633,0,0,0,0
10529638,0,0,0,0
10529641,0,0,0,0
10529645,0,0,0,0
10529648,0,0,0,0
10529654,0,0,0,0
10529659,0,0,0,0
10529660,0,0,0,0
10529662,0,0,0,0
10529663,0,0,0,0
10529665,0,0,0,0
10529669,0,0,0,0
10529670,0,0,0,0
10529677,0,0,0,0
10529678,0,0,0,0
10529686,0,0,0,0
10529687,0,0,0,0
10529689,0,0,0,0
10529693,0,0,0,0
10529702,0,0,0,0
10529704,0,0,0,0
10529705,0,0,0,0
10529706,0,0,0,0
10529708,0,0,0,0
10529713,0,0,0,0
10529716,0,0,0,0
10529717,0,0,0,0
10529720,0,0,0,0
10529722,0,0,0,0
10529724,0,0,0,0
10529728,0,0,0,0
10529737,0,0,0,0
10529739,0,0,0,0
10529763,0,0,0,0
10529771,0,0,0,0
10529776,0,0,0,0
10529796,0,0,0,0
10529798,0,0,0,0
10529804,0,0,0,0
10529808,0,0,0,0
10529812,0,0,0,0
10529815,0,0,0,0
10529823,0,0,0,0
10529826,0,0,0,0
10529827,0,0,0,0
10529828,0,0,0,0
10529829,0,0,0,0
10529831,0,0,0,0
10529832,0,0,0,0
10529834,0,0,0,0
10529850,0,0,0,0
10529851,0,0,0,0
10529855,0,0,0,0
10529858,0,0,0,0
10529883,0,0,0,0
10529890,0,0,0,0
10529891,0,0,0,0
10529906,0,0,0,0
10529907,0,0,0,0
10529908,0,0,0,0
10529909,0,0,0,0
10529930,0,0,0,0
10529968,0,0,0,0
10529995,0,0,0,0
10529996,0,0,0,0
10530009,0,0,0,0
10530019,0,0,0,0
10530021,0,0,0,0
10530031,0,0,0,7
10530036,0,0,0,0
10530042,0,0,0,0
10530047,0,0,0,0
10530050,0,0,0,0
10530059,0,0,0,0
10530061,0,0,0,0
10530071,0,0,0,0
10530077,0,0,0,0
10530081,0,0,0,0
10530086,0,0,0,0
10530089,0,0,0,0
10530094,0,0,0,0
10530100,0,0,0,0
10530109,0,0,0,0
10530110,0,0,0,0
10530124,0,0,0,0
10530129,0,0,0,0
10530142,0,0,0,0
10530150,0,0,0,0
10530152,0,0,0,0
10530153,0,0,0,0
10530160,0,0,0,0
10530174,0,0,0,0
10530179,0,0,0,0
10530181,0,0,0,0
10530186,0,0,0,0
10530191,0,0,0,0
10530196,0,0,0,0
10530209,0,0,0,0
10530237,0,0,0,0
10530254,0,0,0,0
10530257,0,0,0,0
10530259,0,0,0,0
10530261,0,0,0,0
10530276,0,0,0,0
10530302,0,0,0,0
10530305,0,0,0,0
10530306,0,0,0,0
10530307,0,0,0,0
10530308,0,0,0,0
10530310,0,0,0,0
10530311,0,0,0,0
10530314,0,0,0,0
10530315,0,0,0,0
10530318,0,0,0,0
10530324,0,0,0,0
10530325,0,0,0,0
10530329,0,0,0,0
10530331,0,0,0,0
10530340,0,0,0,0
10530344,0,0,0,0
10530353,0,0,0,0
10530364,0,0,0,0
10530365,0,0,0,0
10530367,0,0,1,4
10530373,0,0,0,0
10530375,0,0,0,0
10530377,0,0,0,0
10530378,0,0,0,0
